Term,Synonym,UG/GR,Section Number,Subject,Course #,Section #,Crs Level,Course Type,Reg Restrictions,Bldg,Room,Section Title,Faculty Name (LFM),Faculty Name 2 (LFM),Sec Start Date,Meeting Start Date,Sec End Date,Meeting End Date,Start Time,End Time,Days,Sec Num Of Weeks ,Min Cred,Max Cred,Capacity,Enr Count,Wait,Depts,Divisions,College,Faculty Last Name,Faculty First Name,Instr Method,Sun,Mon,Tue,Wed,Thu,Fri,Sat,SEC.XLIST,SEC.FEE,Primary Section ,SEC.COMMENTS,SEC.PRINTED.COMMENTS,Academic Year,Term Sort No,Only Pass/NoPass,Allow Pass/NoPass,Bldg,Room,Start Date,End Date,Start Time,Start Time 24hr,End Time,End Time 24hr
2023SP,733,UG,NURS-2003C-204,NURS,2003C,204,2,"CLINC, T2","LEVEL, WKNUR",,*,Health Assesment Clinical,"Becknell, Bethany Ann","Ritter, Katherine J",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2003C-204,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,853,UG,NURS-2003C-206,NURS,2003C,206,2,"CLINC, INT, T2","LEVEL, WKNUR",,*,Health Assesment Clinical,"Becknell, Bethany Ann","Scott, Beth Angela",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2003C-206,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,877,UG,NURS-2003C-208,NURS,2003C,208,2,"CLINC, T2","LEVEL, WKNUR",,*,Health Assesment Clinical,"Becknell, Bethany Ann","Ritter, Katherine J",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2003C-208,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,638,UG,NURS-2013-202,NURS,2013,202,2,"INT, T2","WKNUR, LEVEL",,*,Fundamentals of Nursing,"Becknell, Bethany Ann","Hargrave, Jeri",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-2013-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,639,UG,NURS-2013C-206,NURS,2013C,206,2,"CLINC, T2, INT","LEVEL, WKNUR",,*,Fund of Nursing Theory Clinica,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2013C-206,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,734,UG,NURS-2013C-202,NURS,2013C,202,2,"CLINC, T2","LEVEL, WKNUR",,*,Fund of Nursing Theory Clinica,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2013C-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,741,UG,NURS-2013C-208,NURS,2013C,208,2,"CLINC, T2","LEVEL, WKNUR",,*,Fund of Nursing Theory Clinica,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2013C-208,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,865,UG,NURS-2013C-204,NURS,2013C,204,2,"CLINC, T2, INT","LEVEL, WKNUR",,*,Fund of Nursing Theory Clinica,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-2013C-204,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,749,UG,NURS-2033-202,NURS,2033,202,2,"INT, T2","LEVEL, WKNUR",,*,Patho and Pharm I,"Becknell, Bethany Ann","Dahlby, Elizabeth Ruth",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,45,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-2033-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,640,UG,NURS-3014-202,NURS,3014,202,3,"INT, T2","LEVEL, WKNUR",,*,Mental Health Nursing,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,4,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-3014-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,740,UG,NURS-3014C-206,NURS,3014C,206,3,"CLINC, T2","LEVEL, WKNUR",,*,Mental Health Nursing Clinical,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3014C-206,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,739,UG,NURS-3014C-208,NURS,3014C,208,3,"CLINC, T2","LEVEL, WKNUR",,*,Mental Health Nursing Clinical,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3014C-208,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,738,UG,NURS-3014C-210,NURS,3014C,210,3,"CLINC, T2","LEVEL, WKNUR",,*,Mental Health Nursing Clinical,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3014C-210,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,737,UG,NURS-3014C-202,NURS,3014C,202,3,"CLINC, T2","LEVEL, WKNUR",,*,Mental Health Nursing Clinical,"Becknell, Bethany Ann","Brown, Julia M",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3014C-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,736,UG,NURS-3014C-204,NURS,3014C,204,3,"CLINC, T2","LEVEL, WKNUR",,*,Mental Health Nursing Clinical,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3014C-204,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,620,UG,NURS-3015-201,NURS,3015,201,3,"INT, T1","LEVEL, WKNUR",,*,Adult Nursing I,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,5,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-3015-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,621,UG,NURS-3015C-201,NURS,3015C,201,3,"CLINC, T1, INT","LEVEL, WKNUR",,*,Adult Nursing I Clinical,"Becknell, Bethany Ann","Holland, Amy D",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3015C-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,641,UG,POLS-2113-202,POLS,2113,202,2,"INT, GENED, COREU, T2","LEVEL, WKNUR, PARAPROF",,*,American Government,"Becknell, Bethany Ann","Rooks, Jason B",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,30,0,,BASS,EBASS,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,POLS-2113-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1132,UG,SDEV-4813-202,SDEV,4813,202,4,"NP, INT","LEVEL, PARAPROF, WKNUR",,*,Metacog Strat for Student Succ,"Becknell, Bethany Ann","Holloway, Chelcie R",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,30,0,,INTD,LLC,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,SDEV-4813-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,629,UG,SPAN-1213-202,SPAN,1213,202,1,"INT, NP","LEVEL, PARAPROF, WKNUR",,*,Basic Spanish II,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,25,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,SPAN-1213-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,,UG,NURS-3015C-207,NURS,3015C,207,3,"CLINC, T1, INT","LEVEL, WKNUR",,*,Adult Nursing I Clinical,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3015C-207,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,,UG,NURS-3015C-209,NURS,3015C,209,3,"CLINC, T1","LEVEL, WKNUR",,*,Adult Nursing I Clinical,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3015C-209,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,9956,UG,HIST-2213-201,HIST,2213,201,2,"INT, GENED, COREU","LEVEL, SECOKENR, PARAPROF, WKNUR",,*,History U.S. to 1877,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,70,0,,BASS,EBASS,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,HIST-2213-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,9958,UG,POLS-2113-201,POLS,2113,201,2,"INT, GENED, COREU, T1","LEVEL, SECOKENR, WKNUR, PARAPROF",,*,American Government,"Becknell, Bethany Ann","Rooks, Jason B",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,30,0,,BASS,EBASS,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,POLS-2113-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,,UG,ELEM-3233-203,ELEM,3233,203,3,"INT, NP","LEVEL, PARAPROF",,*,Primary Reading,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,25,0,,EDUC,EBASS,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,ELEM-3233-203,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,1581,UG,NURS-4005-202,NURS,4005,202,4,"INT, T2, NP","SRLVL, LEVEL, WKNUR",,*,Community Health Nursing,"Becknell, Bethany Ann","Jackson, Jeri Nichole",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,5,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-4005-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1582,UG,NURS-4022-202,NURS,4022,202,4,"INT, T2, NP","SRLVL, LEVEL, WKNUR",,*,Issues and Trends in Nursing,"Becknell, Bethany Ann","Gray, Jennifer Ruth",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,2,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-4022-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1583,UG,BIOL-2623-201,BIOL,2623,201,2,"INT, T1, NP","WKNUR, LEVEL, PARAPROF, UONLN",,*,Anatomy and Physiology II,"Becknell, Bethany Ann","Jones, Ryan Garrett",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,25,0,,BIOS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BIOL-2623-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1584,UG,COMM-1213-201,COMM,1213,201,1,"INT, GENED, COREU, T1, NP","LEVEL, WKNUR, PARAPROF",,*,Oral Communication,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,30,0,,COMM,LLC,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,COMM-1213-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1585,UG,ENGL-1213-202,ENGL,1213,202,1,"INT, GENED, COREU, T2","LEVEL, WKNUR, PARAPROF",,*,English Comp II,"Becknell, Bethany Ann","Henderson, Joel Bridges",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,20,0,,LALT,LLC,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,ENGL-1213-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1586,UG,MATH-2913-201,MATH,2913,201,2,"INT, T1, NP","LEVEL, WKNUR, PARAPROF, UONLN",,*,Statistical Methods,"Becknell, Bethany Ann","Jones, Ryan Garrett",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,25,0,,MATH,ENGCS,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,MATH-2913-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,1587,UG,MUSC-3213-201,MUSC,3213,201,3,"INT, GENED, COREU, NP, T1","SOPH, LEVEL, WKNUR, PARAPROF",,*,Perspectives in World Music,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,25,0,,MUSIC,FPART,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,MUSC-3213-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1588,UG,NURS-3024-201,NURS,3024,201,3,"INT, T1","LEVEL, WKNUR",,*,Maternal-Infant Health Nursing,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,4,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-3024-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1589,UG,NURS-3025-201,NURS,3025,201,3,"INT, T1, NP","LEVEL, WKNUR",,*,Adult Nursing II,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,5,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-3025-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1590,UG,NURS-4015-201,NURS,4015,201,4,"INT, T1, NP","SRLVL, LEVEL, WKNUR",,*,Child & Family Health Nursing,"Becknell, Bethany Ann","Heald, Sarah R",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,5,0,0,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,NURS-4015-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1591,UG,BIOL-2033-202,BIOL,2033,202,2,"INT, GENED, COREU, T2, NP","LEVEL, WKNUR, PARAPROF, UONLN",,*,Nutrition,"Becknell, Bethany Ann","Givens, Ruth Ann",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,30,0,,BIOS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BIOL-2033-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1593,UG,BIOL-2523-202,BIOL,2523,202,2,"INT, T2","LEVEL, WKNUR, PARAPROF, UONLN",,*,Anatomy and Physiology I,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,25,0,,BIOS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BIOL-2523-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1595,UG,BIOL-2623-202,BIOL,2623,202,2,"INT, T2","WKNUR, LEVEL, PARAPROF, UONLN",,*,Anatomy and Physiology II,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,25,0,,BIOS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BIOL-2623-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1596,UG,BIOL-2624-202,BIOL,2624,202,2,"INT, T2, NP","LEVEL, WKNUR, PARAPROF, UONLN",,*,Principles of Microbiology,"Becknell, Bethany Ann","Ashley, Rachel Erin",3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,4,0,25,0,,BIOS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BIOL-2624-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1597,UG,HIST-2213-202,HIST,2213,202,2,"INT, GENED, COREU, T2, NP","LEVEL, WKNUR, PARAPROF",,*,History U.S. to 1877,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,70,0,,BASS,EBASS,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,HIST-2213-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1608,UG,BUSA-1211-201,BUSA,1211,201,1,"INT, T1, NP","LEVEL, PARAPROF, UONLN",,*,Introduction to Business,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,1,0,70,0,,BUSI,BUSI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,BUSA-1211-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,1610,UG,ECON-2213-202,ECON,2213,202,2,"INT, T2, NP","LEVEL, PARAPROF, UONLN",,*,Microeconomic Principles,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,35,0,,BUSI,BUSI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,ECON-2213-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1611,UG,MKTG-3313-202,MKTG,3313,202,3,"INT, T2, NP","LEVEL, PARAPROF, UONLN",,*,Principles of Marketing,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,20,0,,BUSI,BUSI,PROF (College Professional Studies),Becknell,Bethany,WEB,,,,,,,,,0,MKTG-3313-202,,,2022,3,N,N,,,3/6/2023,5/5/2023,,,,
2023SP,1622,UG,MUSC-3213-202,MUSC,3213,202,3,"INT, GENED, COREU, T2, NP","WKNUR, LEVEL, PARAPROF",,*,Perspectives in World Music,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,3,0,25,0,,MUSIC,FPART,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,MUSC-3213-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1645,UG,NURS-3025C-201,NURS,3025C,201,3,"CLINC, NP","LEVEL, WKNUR",,*,Adult Nursing II Clinicals,"Becknell, Bethany Ann","Hargrave, Jeri",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3025C-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1646,UG,NURS-3025C-203,NURS,3025C,203,3,"CLINC, NP","LEVEL, WKNUR",,*,Adult Nursing II Clinicals,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3025C-203,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1647,UG,NURS-3025C-205,NURS,3025C,205,3,"CLINC, NP, T1","LEVEL, WKNUR",,*,Adult Nursing II Clinicals,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3025C-205,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1648,UG,NURS-3025C-207,NURS,3025C,207,3,"CLINC, NP, T1","LEVEL, WKNUR",,*,Adult Nursing II Clinicals,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3025C-207,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1649,UG,BIBL-3533-201,BIBL,3533,201,3,"INT, GENED, NP, T1","LEVEL, WKNUR, PARAPROF",,*,Christianity and Mental Health,"Becknell, Bethany Ann","Latorre, Mel",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,3,0,30,0,,BIBLE,BIBLE,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,BIBL-3533-201,,,2022,3,N,N,,,1/9/2023,3/3/2023,,,,
2023SP,1650,UG,SDEV-0000-201,SDEV,0,201,"0, 1, 2","INT, T1","LEVEL, WKNUR",,*,Orientation for Work-Based,"Becknell, Bethany Ann",,1/9/2023,1/8/2023,3/3/2023,4/27/2023,,,,8,0,0,0,0,,INTD,LLC,HBIBL (College of Humanities and Bible),Becknell,Bethany,WEB,,,,,,,,,0,SDEV-0000-201,,,2022,3,N,N,,,1/8/2023,4/27/2023,,,,
2023SP,1651,UG,MATH-1813-202,MATH,1813,202,1,"INT, NP, T2","PARAPROF, LEVEL",,,SS: Math for Teachers II,"Becknell, Bethany Ann",,3/3/2023,,5/5/2023,,,,,9,3,0,30,0,,MATH,ENGCS,PROF (College Professional Studies),Becknell,Bethany,LEC,,,,,,,,,0,MATH-1813-202,,,2022,3,N,N,,,,,,,,
2023SP,1665,UG,NURS-3024C-201,NURS,3024C,201,3,"CLINC, T1, NP","LEVEL, WKNUR",,*,Maternal-Infant Health Clinica,"Becknell, Bethany Ann","Clay, Shelly R",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3024C-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1666,UG,NURS-3024C-203,NURS,3024C,203,3,"CLINC, NP, T1","LEVEL, WKNUR",,*,Maternal-Infant Health Clinica,"Becknell, Bethany Ann","Burkhead, Sarah Elizabeth",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3024C-203,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1667,UG,NURS-3024C-205,NURS,3024C,205,3,"CLINC, T1, NP","LEVEL, WKNUR",,*,Maternal-Infant Health Clinica,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3024C-205,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1668,UG,NURS-3024C-207,NURS,3024C,207,3,"CLINC, T1","LEVEL, WKNUR",,*,Maternal-Infant Health Clinica,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-3024C-207,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1669,UG,NURS-4015C-201,NURS,4015C,201,4,"CLINC, T1, NP","LEVEL, WKNUR",,*,Child and Family Health Nursin,"Becknell, Bethany Ann","Heald, Sarah R",1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4015C-201,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1670,UG,NURS-4015C-203,NURS,4015C,203,4,"CLINC, T1, NP","LEVEL, WKNUR",,*,Child and Family Health Nursin,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4015C-203,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1671,UG,NURS-4015C-207,NURS,4015C,207,4,"CLINC, T1, NP","LEVEL, WKNUR",,*,Child and Family Health Nursin,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4015C-207,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1672,UG,NURS-4015C-205,NURS,4015C,205,4,"CLINC, NP, T1","LEVEL, WKNUR",,*,Child and Family Health Nursin,"Becknell, Bethany Ann",,1/9/2023,1/9/2023,3/3/2023,3/3/2023,,,,8,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4015C-205,,,2022,3,N,Y,,,1/9/2023,3/3/2023,,,,
2023SP,1676,UG,NURS-4005C-202,NURS,4005C,202,4,CLINC,"LEVEL, WKNUR",,*,Community Health Nursing Clini,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4005C-202,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
2023SP,1677,UG,NURS-4005C-204,NURS,4005C,204,4,"CLINC, T2","LEVEL, WKNUR",,*,Community Health Nursing Clini,"Becknell, Bethany Ann",,3/6/2023,3/6/2023,5/5/2023,5/5/2023,,,,9,0,0,10,0,,NURS,NHSCI,PROF (College Professional Studies),Becknell,Bethany,CLIN,,,,,,,,,0,NURS-4005C-204,,,2022,3,N,Y,,,3/6/2023,5/5/2023,,,,
